date,product_id,quantity,sales,name,category,price,year
2022-01-24,P098,9.0,7580.4,Продукт 98,Телефизор,758.04,2022
2022-01-28,P046,1.0,2905.11,Продукт 46,Планшет,322.79,2022
2022-09-18,P089,1.0,530.19,Продукт 89,Ноутбук,530.19,2022
2022-01-27,P076,6.0,3409.7,Продукт 76,Смартфон,487.1,2022
2022-11-27,P031,3.0,3932.2,Продукт 31,Ноутбук,393.22,2022
2022-05-23,P026,4.0,916.76,Продукт 26,Смартфон,229.19,2022
2022-06-08,P015,4.0,1613.79,Продукт 15,Wi_Fi_роутер,537.93,2022
2022-03-24,P072,7.0,1806.8,Продукт 72,Смартфон,180.68,2022
2022-11-17,P073,6.0,3042.0780617614932,Продукт 73,Wi_Fi_роутер,32.18,2022
2022-09-27,P050,8.0,3042.0780617614932,Продукт 50,Ноутбук,294.74,2022
2022-05-23,P045,1.0,451.14,Продукт 45,Ноутбук,225.57,2022
2022-04-05,P082,2.0,294.76,Продукт 82,Смартфон,147.38,2022
2022-05-28,P014,5.0,2716.38,Продукт 14,Wi_Fi_роутер,905.46,2022
2022-01-25,P027,8.0,54.77,Продукт 27,Ноутбук,54.77,2022
2022-11-04,P086,7.0,3042.0780617614932,Продукт 86,Wi_Fi_роутер,10.38,2022
2022-12-04,P065,6.0,1390.84,Продукт 65,Планшет,347.71,2022
2022-03-08,P095,2.0,1810.04,Продукт 95,Ноутбук,452.51,2022
2022-02-24,P042,8.0,269.55,Продукт 42,Смартфон,269.55,2022
2022-10-02,P068,5.0,2971.9,Продукт 68,Смартфон,297.19,2022
2022-05-09,P055,10.0,6309.18,Продукт 55,Смартфон,701.02,2022
2022-01-29,P022,1.0,4172.22,Продукт 22,Ноутбук,695.37,2022
2022-09-29,P050,7.0,2652.66,Продукт 50,Ноутбук,294.74,2022
2022-06-26,P050,3.0,2652.66,Продукт 50,Ноутбук,294.74,2022
2022-04-11,P043,9.0,3810.72,Продукт 43,Планшет,952.68,2022
2022-06-01,P088,6.0,2491.72,Продукт 88,Wi_Fi_роутер,622.93,2022
2022-04-06,P081,7.0,3523.45,Продукт 81,Wi_Fi_роутер,704.69,2022
2022-05-21,P023,2.0,3042.0780617614932,Продукт 23,Планшет,535.37,2022
2022-04-02,P038,10.0,739.14,Продукт 38,Планшет,369.57,2022
2022-05-22,P026,9.0,1145.95,Продукт 26,Смартфон,229.19,2022
2022-06-06,P001,7.0,3042.0780617614932,Продукт 1,Телефизор,240.3,2022
2022-09-08,P033,4.0,4361.9,Продукт 33,Телефизор,436.19,2022
2022-11-04,P038,9.0,369.57,Продукт 38,Планшет,369.57,2022
2022-07-11,P020,7.0,5336.1,Продукт 20,Смартфон,592.9,2022
2022-10-02,P026,1.0,458.38,Продукт 26,Смартфон,229.19,2022
2022-10-18,P033,4.0,3042.0780617614932,Продукт 33,Телефизор,436.19,2022
2022-03-13,P016,4.0,353.19,Продукт 16,Телефизор,353.19,2022
2022-12-30,P014,10.0,6338.22,Продукт 14,Wi_Fi_роутер,905.46,2022
2022-03-07,P031,8.0,786.44,Продукт 31,Ноутбук,393.22,2022
2022-01-30,P089,2.0,3181.14,Продукт 89,Ноутбук,530.19,2022
2022-12-26,P074,7.0,1640.49,Продукт 74,Планшет,546.83,2022
2022-07-30,P025,8.0,5986.17,Продукт 25,Wi_Fi_роутер,665.13,2022
2022-11-23,P029,4.0,3042.0780617614932,Продукт 29,Wi_Fi_роутер,777.88,2022
2022-01-15,P033,6.0,4361.9,Продукт 33,Телефизор,436.19,2022
2022-04-18,P019,8.0,4515.05,Продукт 19,Планшет,903.01,2022
2022-08-09,P081,3.0,704.69,Продукт 81,Wi_Fi_роутер,704.69,2022
2022-10-05,P071,6.0,465.8,Продукт 71,Планшет,93.16,2022
2022-01-17,P020,7.0,5929.0,Продукт 20,Смартфон,592.9,2022
2022-10-15,P087,8.0,735.21,Продукт 87,Wi_Fi_роутер,245.07,2022
2022-10-19,P058,9.0,4760.01,Продукт 58,Смартфон,528.89,2022
2022-07-03,P083,5.0,3042.0780617614932,Продукт 83,Смартфон,279.55,2022
2022-10-13,P075,8.0,3132.6,Продукт 75,Смартфон,783.15,2022
2022-02-04,P076,9.0,1948.4,Продукт 76,Смартфон,487.1,2022
